,best_cv_score,mae_test,performance,variables,prediction
0,28417.169528574486,25474.805565068495,2942.3639635059917,MSSubClass,
1,28417.169528574486,25474.805565068495,2942.3639635059917,LotFrontage,
2,28417.169528574486,25474.805565068495,2942.3639635059917,LotArea,
3,28417.169528574486,25474.805565068495,2942.3639635059917,OverallQual,
4,28417.169528574486,25474.805565068495,2942.3639635059917,OverallCond,
5,28417.169528574486,25474.805565068495,2942.3639635059917,YearBuilt,
6,28417.169528574486,25474.805565068495,2942.3639635059917,YearRemodAdd,
7,28417.169528574486,25474.805565068495,2942.3639635059917,MasVnrArea,
8,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinSF1,
9,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinSF2,
10,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtUnfSF,
11,28417.169528574486,25474.805565068495,2942.3639635059917,TotalBsmtSF,
12,28417.169528574486,25474.805565068495,2942.3639635059917,1stFlrSF,
13,28417.169528574486,25474.805565068495,2942.3639635059917,2ndFlrSF,
14,28417.169528574486,25474.805565068495,2942.3639635059917,LowQualFinSF,
15,28417.169528574486,25474.805565068495,2942.3639635059917,GrLivArea,
16,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFullBath,
17,28417.169528574486,25474.805565068495,2942.3639635059917,FullBath,
18,28417.169528574486,25474.805565068495,2942.3639635059917,HalfBath,
19,28417.169528574486,25474.805565068495,2942.3639635059917,BedroomAbvGr,
20,28417.169528574486,25474.805565068495,2942.3639635059917,KitchenAbvGr,
21,28417.169528574486,25474.805565068495,2942.3639635059917,TotRmsAbvGrd,
22,28417.169528574486,25474.805565068495,2942.3639635059917,Fireplaces,
23,28417.169528574486,25474.805565068495,2942.3639635059917,GarageYrBlt,
24,28417.169528574486,25474.805565068495,2942.3639635059917,GarageCars,
25,28417.169528574486,25474.805565068495,2942.3639635059917,GarageArea,
26,28417.169528574486,25474.805565068495,2942.3639635059917,WoodDeckSF,
27,28417.169528574486,25474.805565068495,2942.3639635059917,OpenPorchSF,
28,28417.169528574486,25474.805565068495,2942.3639635059917,EnclosedPorch,
29,28417.169528574486,25474.805565068495,2942.3639635059917,3SsnPorch,
30,28417.169528574486,25474.805565068495,2942.3639635059917,ScreenPorch,
31,28417.169528574486,25474.805565068495,2942.3639635059917,PoolArea,
32,28417.169528574486,25474.805565068495,2942.3639635059917,MiscVal,
33,28417.169528574486,25474.805565068495,2942.3639635059917,MoSold,
34,28417.169528574486,25474.805565068495,2942.3639635059917,YrSold,
35,28417.169528574486,25474.805565068495,2942.3639635059917,MSZoning_RL,
36,28417.169528574486,25474.805565068495,2942.3639635059917,MSZoning_RM,
37,28417.169528574486,25474.805565068495,2942.3639635059917,LotShape_Reg,
38,28417.169528574486,25474.805565068495,2942.3639635059917,LandContour_Lvl,
39,28417.169528574486,25474.805565068495,2942.3639635059917,LotConfig_CulDSac,
40,28417.169528574486,25474.805565068495,2942.3639635059917,LotConfig_Inside,
41,28417.169528574486,25474.805565068495,2942.3639635059917,Condition1_Feedr,
42,28417.169528574486,25474.805565068495,2942.3639635059917,Condition1_Norm,
43,28417.169528574486,25474.805565068495,2942.3639635059917,BldgType_TwnhsE,
44,28417.169528574486,25474.805565068495,2942.3639635059917,HouseStyle_1Story,
45,28417.169528574486,25474.805565068495,2942.3639635059917,HouseStyle_2Story,
46,28417.169528574486,25474.805565068495,2942.3639635059917,RoofStyle_Gable,
47,28417.169528574486,25474.805565068495,2942.3639635059917,RoofStyle_Hip,
48,28417.169528574486,25474.805565068495,2942.3639635059917,MasVnrType_BrkFace,
49,28417.169528574486,25474.805565068495,2942.3639635059917,MasVnrType_None,
50,28417.169528574486,25474.805565068495,2942.3639635059917,MasVnrType_Stone,
51,28417.169528574486,25474.805565068495,2942.3639635059917,ExterQual_Gd,
52,28417.169528574486,25474.805565068495,2942.3639635059917,ExterQual_TA,
53,28417.169528574486,25474.805565068495,2942.3639635059917,ExterCond_Gd,
54,28417.169528574486,25474.805565068495,2942.3639635059917,ExterCond_TA,
55,28417.169528574486,25474.805565068495,2942.3639635059917,Foundation_CBlock,
56,28417.169528574486,25474.805565068495,2942.3639635059917,Foundation_PConc,
57,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtQual_Gd,
58,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtQual_TA,
59,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtCond_TA,
60,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtExposure_Gd,
61,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtExposure_Mn,
62,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtExposure_No,
63,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinType1_BLQ,
64,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinType1_GLQ,
65,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinType1_Rec,
66,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinType1_Unf,
67,28417.169528574486,25474.805565068495,2942.3639635059917,BsmtFinType2_Unf,
68,28417.169528574486,25474.805565068495,2942.3639635059917,HeatingQC_Gd,
69,28417.169528574486,25474.805565068495,2942.3639635059917,HeatingQC_TA,
70,28417.169528574486,25474.805565068495,2942.3639635059917,CentralAir_Y,
71,28417.169528574486,25474.805565068495,2942.3639635059917,Electrical_SBrkr,
72,28417.169528574486,25474.805565068495,2942.3639635059917,KitchenQual_Gd,
73,28417.169528574486,25474.805565068495,2942.3639635059917,KitchenQual_TA,
74,28417.169528574486,25474.805565068495,2942.3639635059917,Functional_Typ,
75,28417.169528574486,25474.805565068495,2942.3639635059917,GarageType_Attchd,
76,28417.169528574486,25474.805565068495,2942.3639635059917,GarageType_Detchd,
77,28417.169528574486,25474.805565068495,2942.3639635059917,GarageFinish_RFn,
78,28417.169528574486,25474.805565068495,2942.3639635059917,GarageFinish_Unf,
79,28417.169528574486,25474.805565068495,2942.3639635059917,PavedDrive_Y,
80,28417.169528574486,25474.805565068495,2942.3639635059917,SaleType_New,
81,28417.169528574486,25474.805565068495,2942.3639635059917,SaleType_WD,
82,28417.169528574486,25474.805565068495,2942.3639635059917,SaleCondition_Normal,
83,28417.169528574486,25474.805565068495,2942.3639635059917,SaleCondition_Partial,
